ayah_key,surah_number,ayah_number,script_type,display_text,source_name,source_reference,source_checksum,audit_status,source_match_status,review_status
55:5,55,5,INDOPAK,"اَلشَّمْسُ وَالْقَمَرُ بِحُسْبَانٍ ۝٥ۙ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
55:6,55,6,UTHMANI,"وَٱلنَّجْمُ وَٱلشَّجَرُ يَسْجُدَانِ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
55:6,55,6,INDOPAK,"وَّالنَّجْمُ وَالشَّجَرُ يَسْجُدٰنِ ۝٦","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
55:7,55,7,UTHMANI,"وَٱلسَّمَآءَ رَفَعَهَا وَوَضَعَ ٱلْمِيزَانَ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
55:7,55,7,INDOPAK,"وَالسَّمَا࢜ءَ رَفَعَهَا وَوَضَعَ الْمِيْزَانَ ۝٧ۙ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
55:8,55,8,UTHMANI,"أَلَّا تَطْغَوْا۟ فِى ٱلْمِيزَانِ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
55:8,55,8,INDOPAK,"اَلَّا تَطْغَوْا فِي الْمِيْزَانِ ۝٨","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
55:9,55,9,UTHMANI,"وَأَقِيمُوا۟ ٱلْوَزْنَ بِٱلْقِسْطِ وَلَا تُخْسِرُوا۟ ٱلْمِيزَانَ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
55:9,55,9,INDOPAK,"وَاَقِيْمُوا الْوَزْنَ بِالْقِسْطِ وَلَا تُخْسِرُوا الْمِيْزَانَ ۝٩","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
55:10,55,10,UTHMANI,"وَٱلْأَرْضَ وَضَعَهَا لِلْأَنَامِ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
